,name,price,type,종류,소재,치수,제조사,제조국,취급시 주의사항,품질보증기준,A/S 책임자,색상,크기,제품 소재,세탁방법/취급시 주의사항,제조연월,비비안웨스트우드 / 지인터내셔날㈜,이탈리아,"수분, 직사광선, 이염, 변색, 화기 등 주의(고객센터문의)",관련 법 및 소비자 분쟁해결 규정에 따름,관련법 및 소비자 분쟁 해결기준에 따름
160,[공식]롱샴 르 플리아쥬 그린 숄더백 L2605919001,"200,000원",luxury,가방,"100% 나일론, 천연가죽(소)",,제조사 : 롱샴 / 수입자 : ㈜롱샴코리아,"프랑스, 루마니아, 모리셔스, 모로코, 중국, 튀니지, 불가리아, 이탈리아 외 국가 (위 국가에서 제조된 상품이 랜덤으로 발송됩니다)",[ 섬유 소재 ] 겉감과 안감을 접착제로 밀착시켜 만든 소재는 시간이 경과함에 따라 습기 등의 영향으로 접착제의 기능이 약화되어 원단의 접착이 떨어지는 현상이 발생할 수 있습니다. 비에 젖은 경우에는 빠르게 수분을 닦아내고 통풍이 잘 되는 곳에서 건조시켜 주십시오. 심하게 젖은 경우엔 동그랗게 색이 착색되는 경우가 있으므로 주의하여 주십시오. 직물 소재의 특성상 사용함에 따라 모서리 및 표면이 마모될 수 있습니다. 천 소재의 가방은 물세탁 및 드라이크리닝을 금하고 있으니 유의하여 사용 바랍니다. 사용하면서 발생하는 제품 오염의 세탁 서비스는 대행해 드리지 않습니다.,"[ 품질보증 기준 ] 롱샴 제품의 품질 보증서를 소지하신 고객에 한해, 구매일 기준 6개월 이내에 상품의 불량이 확인된 경우 무상으로 수선해 드립니다. 단, 고객 부주의에 의한 수선은 품질보증 기간에 상관없이 유상으로 진행되며, 수선 의뢰 시 제품 구매 카드를 반드시 지참하여 해당 구입처로 문의하시기 바랍니다. (면세 상품의 경우, 교환은 불가하며 $600 이상의 상품의 세관에 유치를 통해서만 반품이 가능합니다.) 상품에 동봉되는 품질 보증서 또는 공정거래위원회 고시 소비자 분쟁 해결 기준에 따릅니다. 공정거래위원회 고시 소비자 분쟁 해결기준은 품질 보증서에 우선하여 진행합니다. 분쟁이 발생할 경우 관련법 및 소비자 분쟁 해결 기준에 따릅니다.",㈜롱샴코리아 02-725-1505,블랙,28X26.5X15.5cm (밑변X높이X폭),,,,,,,,
161,[친구맺고 3% 적립] [30%off][토리버치 공식]엘라 미니 토트,"259,000원",luxury,토트백,겉감 : 나일론 100%. 안감 : 폴리에스터 100%. 배색 : 폴리우레탄 100%.,,제조사 : 토리버치 수입자 : 삼성물산 패션부문,캄보디아,1. 이 제품은 가죽 배색 제품으로 세탁 불가합니다. 2. 세탁하면 가죽 부위가 수축되어 제품 형태가 변형될 수 있습니다. 3. 부분적인 오염은 발생 즉시 미지근한 중성세제로 닦아낸 후 모양을 잡아 그늘에서 건조하십시오. 4. 짙은 색상의 경우 일광에 지속적으로 노출되면 탈색될 수 있습니다.,"1.본 제품은 정부 고시 소비자분쟁해결 기준에 의거하여 고객의 피해를 보상해드립니다. ① 원단불량, 부자재불량, 봉제불량, 사이즈부정확, 부당표시(미표시 및 부실표시) 및 소재구성 부적합으로 인한 세탁사고 : 무상수리, 교환, 환급 순으로 보상. ② 사이즈가 맞지 않거나 디자인/색상 불만 : 배송완료일로부터 7일 이내로서 제품의 손상이 없는 경우 교환 또는 환급 ③ 교환 및 환급기준       i) 교환 또는 환급은 구입가를 기준으로 함. 단, 품질보증기간(1년) 경과 제품은 감가(세탁업배상비율표 적용)함.       ii) 상하 일착인 경우 한쪽에만 이상이 있어도 일착으로 처리. 단, 소재 및 디자인이 다를 경우엔 해당 의류만 교환. 2. 소비자 부주의에 의한 제품훼손 및 세탁 잘못으로 인한 변형에 대해서는 보상의 책임을 지지 않으며, 수선 가능시에는 실비로 수선해드립니다.",삼성물산 패션부문 고객상담실: 1599-0007,베이지,F,,,,,,,,
162,발렌시아가 BB로고 카드지갑 674854-2101O-1000,"280,000원",luxury,카드지갑,CALF(소가죽),가로 9.9cm x 세로 8.4cm,BALENCIAGA /병행수입(라프리마),ITALY,모든 소재의 제품은 마찰시 이염이 될수 있습니다. 미사용시 평상온도의 습하지 않은 실내에서 더스트백에 보관하시기를 권장합니다. 세탁 및 염색을 필요로 할시에는 꼭 명품수선 전문점 과 상의하셔야 합니다.,관련법 및 소비자 분쟁해결기준에 따름,"라프리마/ 상담 1833-9346, 수선문의 1833-9347",,,,,,,,,,
163,GG 마틀라세 뷰티 케이스,"970,000원",luxury,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,
164,생로랑 575726 0SX0E 1000 모노그램 실버로고 반지갑,"539,000원",luxury,반지갑,소가죽,SIZE - 11cmx9.5cmx3cm,생로랑/(주)트랜드메카-병행수입,(원산지:이탈리아),"화장품,향수,마찰등으로 변색,탈색,이염등 상품이 손상 될수 있으니 주의하세요. / 충격과 비틀림에 의한 파손에 주의하세요. / 피부가 민감하여 알러지 반응이 있을시 착용을 중지하세요. / 천연가죽 특성상 작은상처나 가죽결 및 약간의 색조차이가 발생할 수 있으므로, 이점은 결함으로 볼 수 없습니다. / 취급시 수분(물, 땀, 향수 등), 기름, 습기(여름철 습도 등), 온도와 직사광선을 피하여 보관, 사용하시기 바랍니다.",구입일로부터 1년. 관련법 및 소비자 분쟁해결 기준에 따름,(주)트랜드메카 고객센터/1599-3735,,,,,,,,,,
165,[친구 맺고 3%적립] [30%off][토리버치 공식]티 모노그램 도미노 카드 포켓,"112,000원",luxury,카드 포켓,겉감 : 면 56%. 겉감 : 폴리에스터 44%. 안감 : 폴리에스터 70%. 안감 : 레이온 30%. 배색 : 천연가죽(소).,F,제조사 : 토리버치 수입자 : 삼성물산 패션부문,중국,1. 이 제품은 가죽 배색 제품으로 세탁 불가합니다. 2. 세탁하면 가죽 부위가 수축되어 제품 형태가 변형될 수 있습니다. 3. 부분적인 오염은 발생 즉시 미지근한 중성세제로 닦아낸 후 모양을 잡아 그늘에서 건조하십시오. 4. 짙은 색상의 경우 일광에 지속적으로 노출되면 탈색될 수 있습니다.,"1.본 제품은 정부 고시 소비자분쟁해결 기준에 의거하여 고객의 피해를 보상해드립니다. ①?원단불량, 부자재불량, 봉제불량, 사이즈부정확, 부당표시(미표시 및 부실표시) 및 소재구성 부적합으로 인한 세탁사고 : 무상수리, 교환, 환급 순으로 보상.  ② 사이즈가 맞지 않거나 디자인/색상 불만 : 배송완료일로부터 7일 이내로서 제품의 손상이 없는 경우 교환 또는 환급  ③?교환 및 환급기준 ????? i) 교환 또는 환급은 구입가를 기준으로 함. 단, 품질보증기간(1년) 경과 제품은 감가(세탁업배상비율표 적용)함. ????? ii) 상하 일착인 경우 한쪽에만 이상이 있어도 일착으로 처리. 단, 소재 및 디자인이 다를 경우엔 해당 의류만 교환.  2. 소비자 부주의에 의한 제품훼손 및 세탁 잘못으로 인한 변형에 대해서는 보상의 책임을 지지 않으며, 수선 가능시에는 실비로 수선해드립니다.?",삼성물산 패션부문 고객상담실: 1599-0007,,,,,,,,,,
166,[친구맺고 3% 적립] [30%off][토리버치 공식]키라 쉐브론 체인 월렛,"455,000원",luxury,카드케이스,겉감 : 천연가죽(양). 안감 : 폴리에스터 70%. 안감 : 레이온 30%.,F,제조사 : 토리버치 수입자 : 삼성물산 패션부문,중국,1. 이 제품은 가죽 배색 제품으로 세탁 불가합니다. 2. 세탁하면 가죽 부위가 수축되어 제품 형태가 변형될 수 있습니다. 3. 부분적인 오염은 발생 즉시 미지근한 중성세제로 닦아낸 후 모양을 잡아 그늘에서 건조하십시오. 4. 짙은 색상의 경우 일광에 지속적으로 노출되면 탈색될 수 있습니다.,"1.본 제품은 정부 고시 소비자분쟁해결 기준에 의거하여 고객의 피해를 보상해드립니다. ①?원단불량, 부자재불량, 봉제불량, 사이즈부정확, 부당표시(미표시 및 부실표시) 및 소재구성 부적합으로 인한 세탁사고 : 무상수리, 교환, 환급 순으로 보상.  ② 사이즈가 맞지 않거나 디자인/색상 불만 : 배송완료일로부터 7일 이내로서 제품의 손상이 없는 경우 교환 또는 환급  ③?교환 및 환급기준 ????? i) 교환 또는 환급은 구입가를 기준으로 함. 단, 품질보증기간(1년) 경과 제품은 감가(세탁업배상비율표 적용)함. ????? ii) 상하 일착인 경우 한쪽에만 이상이 있어도 일착으로 처리. 단, 소재 및 디자인이 다를 경우엔 해당 의류만 교환.  2. 소비자 부주의에 의한 제품훼손 및 세탁 잘못으로 인한 변형에 대해서는 보상의 책임을 지지 않으며, 수선 가능시에는 실비로 수선해드립니다.?",삼성물산 패션부문 고객상담실: 1599-0007,,,,,,,,,,
167,[친구맺고 3% 적립] [30%off][토리버치 공식]맥그로우 스파졸라토 바이 폴드 월렛,"210,000원",luxury,지갑,겉감 : 천연가죽(소). 안감 : 폴리에스터 70%. 안감 : 레이온 30%.,상세설명 참조,삼성물산 패션부문,상세설명 참조,상세설명참조,상세설명참조,삼성물산 패션부분 1599-0007,,,,,,,,,,
168,MUSEO 소프트 미니 백,"1,560,000원",luxury,상품상세설명 참조,상품상세설명 참조,,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,,,,,,,,
169,[친구맺고 3% 적립] [30%off][토리버치 공식]밀러 미디엄 플랩 월렛,"231,000원",luxury,지갑,겉감 : 천연가죽(소). 안감 : 폴리에스터 70%. 안감 : 레이온 30%. 배색 : 천연가죽(소).,F,제조사 : 토리버치 수입자 : 삼성물산 패션부문,필리핀,1. 이 제품은 가죽 배색 제품으로 세탁 불가합니다. 2. 세탁하면 가죽 부위가 수축되어 제품 형태가 변형될 수 있습니다. 3. 부분적인 오염은 발생 즉시 미지근한 중성세제로 닦아낸 후 모양을 잡아 그늘에서 건조하십시오. 4. 짙은 색상의 경우 일광에 지속적으로 노출되면 탈색될 수 있습니다.,"1.본 제품은 정부 고시 소비자분쟁해결 기준에 의거하여 고객의 피해를 보상해드립니다. ①?원단불량, 부자재불량, 봉제불량, 사이즈부정확, 부당표시(미표시 및 부실표시) 및 소재구성 부적합으로 인한 세탁사고 : 무상수리, 교환, 환급 순으로 보상.  ② 사이즈가 맞지 않거나 디자인/색상 불만 : 배송완료일로부터 7일 이내로서 제품의 손상이 없는 경우 교환 또는 환급  ③?교환 및 환급기준 ????? i) 교환 또는 환급은 구입가를 기준으로 함. 단, 품질보증기간(1년) 경과 제품은 감가(세탁업배상비율표 적용)함. ????? ii) 상하 일착인 경우 한쪽에만 이상이 있어도 일착으로 처리. 단, 소재 및 디자인이 다를 경우엔 해당 의류만 교환.  2. 소비자 부주의에 의한 제품훼손 및 세탁 잘못으로 인한 변형에 대해서는 보상의 책임을 지지 않으며, 수선 가능시에는 실비로 수선해드립니다.?",삼성물산 패션부문 고객상담실: 1599-0007,,,,,,,,,,
